# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.307538858942887280e+06 1.269997609294466092e+05
2.675046323149817928e-04 1.339062184767310508e+06 1.260900924528841279e+05
2.722106219947262296e-04 1.370449826881110668e+06 1.251479427982588531e+05
2.769994002926497710e-04 1.401653159252144396e+06 1.241731494768354896e+05
2.818724236410365450e-04 1.432622445463162381e+06 1.231656094660649542e+05
2.868311740939907752e-04 1.463306941291053314e+06 1.221252813996667101e+05
2.918771597781784919e-04 1.493655004543604562e+06 1.210521875936616852e+05
2.970119153515020805e-04 1.523614211986610666e+06 1.199464158942982613e+05
3.022370024698421069e-04 1.553131483153304551e+06 1.188081213342014817e+05
3.075540102620107270e-04 1.582153210785967065e+06 1.176375275836610381e+05
3.129645558130605553e-04 1.610625397617322626e+06 1.164349281845942314e+05
3.184702846560951957e-04 1.638493799156401074e+06 1.152006875554200233e+05
3.240728712727342000e-04 1.665704072100754129e+06 1.139352417559052556e+05
3.297740196023783319e-04 1.692201927954087267e+06 1.126390990019095480e+05
3.355754635604376603e-04 1.717933291386184515e+06 1.113128399209320487e+05
3.414789675656743767e-04 1.742844462830301840e+06 1.099571175404324458e+05
3.474863270768235109e-04 1.766882284772661515e+06 1.085726570019789651e+05
3.535993691386534149e-04 1.789994311149423011e+06 1.071602549955415307e+05
3.598199529376329290e-04 1.812128979228759184e+06 1.057207789095172920e+05
3.661499703673751780e-04 1.833235783319983631e+06 1.042551656933283521e+05
3.725913466040254533e-04 1.853265449618063867e+06 1.027644204310033529e+05
3.791460406917750007e-04 1.872170111460971180e+06 1.012496146254719497e+05
3.858160461386732657e-04 1.889903484249126632e+06 9.971188419488004001e+04
3.926033915229225845e-04 1.906421039251284441e+06 9.815242718378522841e+04
3.995101411098382800e-04 1.921680175499705365e+06 9.657250119366070430e+04
4.065383954796626524e-04 1.935640388959748670e+06 9.497342053875057900e+04
4.136902921664251998e-04 1.948263438145292457e+06 9.335655313495849259e+04
4.209680063080379394e-04 1.959513505342015997e+06 9.172331713107485848e+04
4.283737513078311743e-04 1.969357352595709264e+06 9.007517729320132639e+04
4.359097795077255155e-04 1.977764471622663550e+06 8.841364115497830790e+04
4.435783828732461020e-04 1.984707226804019418e+06 8.674025494758786226e+04
4.513818936905887569e-04 1.990160990435983054e+06 8.505659932521248993e+04
