# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.446480612468486885e+06 1.406493321957543376e+05
2.675438070964800586e-04 1.481251416861478239e+06 1.396305736441167828e+05
2.722903557352346284e-04 1.515865623882088810e+06 1.385755633916347870e+05
2.771211138506526656e-04 1.550269344235856086e+06 1.374841300147499132e+05
2.820375754200420289e-04 1.584407473383476958e+06 1.363561689085930411e+05
2.870412609256645163e-04 1.618223805777793285e+06 1.351916447079295176e+05
2.921337178249632373e-04 1.651661157101411838e+06 1.339905935225303110e+05
2.973165210291369332e-04 1.684661494315907126e+06 1.327531249713366560e+05
3.025912733902008352e-04 1.717166073288122658e+06 1.314794240004398744e+05
3.079596061966908367e-04 1.749115583712915657e+06 1.301697524704254902e+05
3.134231796781628216e-04 1.780450301004754612e+06 1.288244504994553281e+05
3.189836835186387210e-04 1.811110244783378672e+06 1.274439375492240797e+05
3.246428373791666985e-04 1.841035343531536870e+06 1.260287132418780238e+05
3.304023914296471982e-04 1.870165604955598712e+06 1.245793578969584050e+05
3.362641268900991407e-04 1.898441291533391457e+06 1.230965327786280977e+05
3.422298565815239113e-04 1.925803100687671918e+06 1.215809800444579014e+05
3.483014254865459238e-04 1.952192348979243543e+06 1.200335223885345185e+05
3.544807113199996006e-04 1.977551159670280293e+06 1.184550623728171922e+05
3.607696251096353208e-04 2.001822652967266971e+06 1.168465814422034455e+05
3.671701117871337995e-04 2.024951138213620987e+06 1.152091386202501453e+05
3.736841507895997147e-04 2.046882307265342679e+06 1.135438688839747192e+05
3.803137566717306600e-04 2.067563428249138873e+06 1.118519812179291184e+05
3.870609797288466049e-04 2.086943538871736731e+06 1.101347563491668843e+05
3.939279066309686757e-04 2.104973638421841431e+06 1.083935441666893894e+05
4.009166610681532024e-04 2.121606877582904883e+06 1.066297608304647583e+05
4.080294044072686516e-04 2.136798745155511424e+06 1.048448855769294314e+05
4.152683363604304980e-04 2.150507250773580745e+06 1.030404572296656115e+05
4.226356956652892443e-04 2.162693102688448038e+06 1.012180704256441823e+05
4.301337607773916827e-04 2.173319879689975176e+06 9.937937156913235958e+04
4.377648505748250288e-04 2.182354196234053466e+06 9.752605452706305368e+04
4.455313250753588166e-04 2.189765859851603396e+06 9.565985608136706287e+04
4.534355861663153810e-04 2.195528019925538450e+06 9.378255115521537664e+04
4.614800783473826246e-04 2.199617306939403992e+06 9.189594783177887439e+04
