# Q(1/A)  I_MAP  dI_MAP
2.628799999999998954e-04 1.485602320841132663e+06 1.464962743375785358e+05
2.675046323149817928e-04 1.521621425702397944e+06 1.454562978768567264e+05
2.722106219947262296e-04 1.557501038187974831e+06 1.443789955908946285e+05
2.769994002926497710e-04 1.593186232333573047e+06 1.432641670514680445e+05
2.818724236410365450e-04 1.628620787976638414e+06 1.421116795618442120e+05
2.868311740939907752e-04 1.663747304177014856e+06 1.409214707040986395e+05
2.918771597781784919e-04 1.698507320876485901e+06 1.396935507023991959e+05
2.970119153515020805e-04 1.732841448625314049e+06 1.384280045861662074e+05
3.022370024698421069e-04 1.766689506158431526e+06 1.371249941374989576e+05
3.075540102620107270e-04 1.799990665557190776e+06 1.357847596078607894e+05
3.129645558130605553e-04 1.832683604685483035e+06 1.344076211897197063e+05
3.184702846560951957e-04 1.864706666541154264e+06 1.329939802296141279e+05
3.240728712727342000e-04 1.895998025115688797e+06 1.315443201700196951e+05
3.297740196023783319e-04 1.926495857307230355e+06 1.300592072083646344e+05
3.355754635604376603e-04 1.956138520384398289e+06 1.285392906625951873e+05
3.414789675656743767e-04 1.984864734451482072e+06 1.269853030339167599e+05
3.474863270768235109e-04 2.012613769319562707e+06 1.253980597585125215e+05
3.535993691386534149e-04 2.039325635143599007e+06 1.237784586414213118e+05
3.598199529376329290e-04 2.064941276142408140e+06 1.221274789671726758e+05
3.661499703673751780e-04 2.089402766677544452e+06 1.204461802832319081e+05
3.725913466040254533e-04 2.112653508928303607e+06 1.187357008539360104e+05
3.791460406917750007e-04 2.134638431364199612e+06 1.169972557840933005e+05
3.858160461386732657e-04 2.155304187183186412e+06 1.152321348132980202e+05
3.926033915229225845e-04 2.174599351854347624e+06 1.134416997835131478e+05
3.995101411098382800e-04 2.192474618877861183e+06 1.116273817844013975e+05
4.065383954796626524e-04 2.208882992853199132e+06 1.097906779825983976e+05
4.136902921664251998e-04 2.223779978929034900e+06 1.079331481429275009e+05
4.209680063080379394e-04 2.237123767695408780e+06 1.060564108514542750e+05
4.283737513078311743e-04 2.248875414570862893e+06 1.041621394519168098e+05
4.359097795077255155e-04 2.258999012734455056e+06 1.022520577091122832e+05
4.435783828732461020e-04 2.267461858655294403e+06 1.003279352142619464e+05
4.513818936905887569e-04 2.274234609280501492e+06 9.839158254940318875e+04
4.593226852759474421e-04 2.279291429956733715e+06 9.644484622927801684e+04
4.674031726973237508e-04 2.282610132180327550e+06 9.448960344090207946e+04
4.756258135090291571e-04 2.284172300297335722e+06 9.252775660236531985e+04
4.839931084991136640e-04 2.283963406306965277e+06 9.056122776394517859e+04
4.925076024499411634e-04 2.281972911960167345e+06 8.859195287573186215e+04
5.011718849121454215e-04 2.278194357389747165e+06 8.662187594721213100e+04
5.099885909922013136e-04 2.272625435558693483e+06 8.465294312510902819e+04
5.189604021538510780e-04 2.265268051870010793e+06 8.268709671679287567e+04
