q_A^-1,intensity,sigma,intensity_fit
2.628799999999998954e-04,1.516474891477189958e+06,1.469987760733700998e+05,1.901883014616282657e+06
2.675438070964800586e-04,1.552860799621745711e+06,1.459353704562858329e+05,1.908798873621386709e+06
2.722903557352346284e-04,1.589076899145241361e+06,1.448340399028469692e+05,1.915914226463116938e+06
2.771211138506526656e-04,1.625066471820004284e+06,1.436946001467291208e+05,1.923231155585945118e+06
2.820375754200420289e-04,1.660771528926213039e+06,1.425169367134557979e+05,1.930751280536050443e+06
2.870412609256645163e-04,1.696132932130145375e+06,1.413010074720343691e+05,1.938475684862102848e+06
2.921337178249632373e-04,1.731090522806894733e+06,1.400468449934554519e+05,1.946404834803635953e+06
2.973165210291369332e-04,1.765583259606939042e+06,1.387545586996510101e+05,1.954538489013325423e+06
3.025912733902008352e-04,1.799549364017742919e+06,1.374243367870975053e+05,1.962875598518738290e+06
3.079596061966908367e-04,1.832926473622587044e+06,1.360564479099499877e+05,1.971414196093565086e+06
3.134231796781628216e-04,1.865651802709013689e+06,1.346512426082254387e+05,1.980151274180313572e+06
3.189836835186387210e-04,1.897662309829270467e+06,1.332091544675976620e+05,1.989082650488945656e+06
3.246428373791666985e-04,1.928894871864949819e+06,1.317307009981138108e+05,1.998202820392977446e+06
3.304023914296471982e-04,1.959286464097979246e+06,1.302164842204003216e+05,2.007504795260490850e+06
3.362641268900991407e-04,1.988774345740742981e+06,1.286671909489010286e+05,2.016979925898070680e+06
3.422298565815239113e-04,2.017296250329403672e+06,1.270835927630476508e+05,2.026617710357359145e+06
3.483014254865459238e-04,2.044790580337255727e+06,1.254665456585416250e+05,2.036405585464616539e+06
3.544807113199996006e-04,2.071196605318899732e+06,1.238169893723506393e+05,2.046328701592392754e+06
3.607696251096353208e-04,2.096454662852162961e+06,1.221359463764796528e+05,2.056369680409718771e+06
3.671701117871337995e-04,2.120506361503099557e+06,1.204245205372275232e+05,2.066508355634936364e+06
3.736841507895997147e-04,2.143294785000142641e+06,1.186838954381308140e+05,2.076721497186671477e+06
