r_low,r_high,r_center,psd_bin_weight,psd_density_per_r,psd_density_per_log_r
5.000000000000000888e+00,5.465182700442109187e+00,5.227419392225053585e+00,3.381817794176933840e-05,7.269870076773843467e-05,3.801519214602464979e-04
5.465182700442109187e+00,5.973644389842339919e+00,5.713760406068792541e+00,1.082353640212086601e-05,2.128682775468895261e-05,1.216679434162885843e-04
5.973644389842339919e+00,6.529411595591882111e+00,6.245348905143647933e+00,3.608261352000335663e-06,6.492397022839824146e-06,4.056065611978115076e-05
6.529411595591882111e+00,7.136885459258971665e+00,6.826394558923226441e+00,1.294101262759193460e-06,2.130299491318349833e-06,1.454706053203468643e-05
7.136885459258971665e+00,7.800876589395792315e+00,7.461498689963870667e+00,5.114968718199342187e-07,7.703369045224086228e-07,5.749763307120387498e-06
7.800876589395792315e+00,8.526643156929946343e+00,8.155690711952400918e+00,2.305200360373899405e-07,3.176228368035729825e-07,2.591287880310739275e-06
8.526643156929946343e+00,9.319932534819326264e+00,8.914467957823729805e+00,1.224321242950580184e-07,1.543347581695850562e-07,1.376265964989802520e-06
9.319932534819326264e+00,1.018702681171643043e+01,9.743839213348747919e+00,7.937960470914757018e-08,9.154668278195468163e-08,8.923103221852195077e-07
1.018702681171643043e+01,1.113479254006651153e+01,1.065037230093660447e+01,6.490833417818946932e-08,6.848563124474357263e-08,7.296380070833449557e-07
1.113479254006651153e+01,1.217073511259666851e+01,1.164124609046930736e+01,6.612636613584909973e-08,6.383207707580153448e-08,7.433299685456563112e-07
1.217073511259666851e+01,1.330305819780532950e+01,1.272430734904443739e+01,7.992777218976955884e-08,7.058742618061232465e-08,8.984723017395079976e-07
1.330305819780532950e+01,1.454072870512405125e+01,1.390813287982120805e+01,1.088099945553415324e-07,8.791515505291188161e-08,1.223138886297074586e-06
1.454072870512405125e+01,1.589354779421318931e+01,1.520209744204979074e+01,1.582048669798634859e-07,1.169445850194085120e-07,1.778389251789809374e-06
1.589354779421318931e+01,1.737222849071675057e+01,1.661644799014514717e+01,2.321471404018226884e-07,1.569961256346620560e-07,2.609578246267790778e-06
1.737222849071675057e+01,1.898848052311853962e+01,1.816238481970746221e+01,3.230526887501428411e-07,1.998776689982433349e-07,3.631452308658604629e-06
1.898848052311853962e+01,2.075510305252587173e+01,1.985215026308751618e+01,4.051181617043918744e-07,2.293178961327416391e-07,4.553954617411595283e-06
2.075510305252587173e+01,2.268608602971151811e+01,2.169912563688062690e+01,4.560921117544142729e-07,2.361968578403294671e-07,5.126955477756610019e-06
2.268608602971151811e+01,2.479672098206415853e+01,2.371793720907997027e+01,4.786385028670905506e-07,2.267746501277122049e-07,5.380400649114936761e-06
2.479672098206415853e+01,2.710372210777337543e+01,2.592457202504720826e+01,4.871894832182905955e-07,2.111786933214083585e-07,5.476522670131999356e-06
2.710372210777337543e+01,2.962535863619867627e+01,2.833650450953068756e+01,4.979692312734378207e-07,1.974785920413388011e-07,5.597698386431017446e-06
2.962535863619867627e+01,3.238159950258924624e+01,3.097283484729738134e+01,5.155506656929449067e-07,1.870484804066065884e-07,5.795332217801568979e-06
3.238159950258924624e+01,3.539427148283910185e+01,3.385444023822002890e+01,5.260208037244006777e-07,1.746027470540537258e-07,5.913027591498692976e-06
3.539427148283910185e+01,3.868723204055274323e+01,3.700414022461426100e+01,5.359182671952550810e-07,1.627466402353000741e-07,6.024285500263205737e-06
3.868723204055274323e+01,4.228655825520372247e+01,4.044687740005917220e+01,5.680139006676923830e-07,1.578111754237790627e-07,6.385074208514677234e-06
4.228655825520372247e+01,4.622075332751536081e+01,4.420991493074127021e+01,6.134293553923364470e-07,1.559224553224556171e-07,6.895591729810281517e-06
4.622075332751536081e+01,5.052097229738779305e+01,4.832305245350088541e+01,6.477263465039294642e-07,1.506263636902993552e-07,7.281126015360111479e-06
5.052097229738779305e+01,5.522126876183975241e+01,5.281886206028593023e+01,6.394316403815149378e-07,1.360407040741994562e-07,7.187884786462048754e-06
5.522126876183975241e+01,6.035886454673416779e+01,5.773294623778253509e+01,5.754129370528944038e-07,1.120004299958214625e-07,6.468247166668529605e-06
6.035886454673416779e+01,6.597444446782800753e+01,6.310421980485668314e+01,5.279619732719477440e-07,9.401735540950288732e-08,5.934848380739624162e-06
6.597444446782800753e+01,7.211247851537044085e+01,6.897521808047979164e+01,5.605738626943540176e-07,9.132791678123689232e-08,6.301440349346677105e-06
7.211247851537044085e+01,7.882157401364115401e+01,7.539243372253199027e+01,6.826140940583886518e-07,1.017445785701417083e-07,7.673301025234513447e-06
7.882157401364115401e+01,8.615486054419376671e+01,8.240668490492200249e+01,8.253870663737201005e-07,1.125535001168870950e-07,9.278219535383680285e-06
8.615486054419376671e+01,9.417041068102604129e+01,9.007351774863272453e+01,7.985967119484340122e-07,9.963092966991750544e-08,8.977067748646071302e-06
9.417041068102604129e+01,1.029316998694944516e+02,9.845364619355855496e+01,6.196575437894878704e-07,7.072675384406666366e-08,6.965603123992141824e-06
1.029316998694944516e+02,1.125081090907720522e+02,1.076134327944968447e+02,5.189607475182839420e-07,5.419158011389249834e-08,5.833665127412235653e-06
1.125081090907720522e+02,1.229754742924681921e+02,1.176254142487347139e+02,5.623995804083472437e-07,5.372885817695703978e-08,6.321963338438922717e-06
1.229754742924681921e+02,1.344166869363720878e+02,1.285688758169043524e+02,7.298237135692459797e-07,6.378901750052783414e-08,8.203986847497373480e-06
1.344166869363720878e+02,1.469223504190806864e+02,1.405304791859670672e+02,8.683165970155122170e-07,6.943386876003189948e-08,9.760792652982279360e-06
1.469223504190806864e+02,1.605914975637306270e+02,1.536049487463974117e+02,7.893578402501589736e-07,5.774740968818314339e-08,8.873213104724367450e-06
1.605914975637306270e+02,1.755323748646783031e+02,1.678958217182215549e+02,6.579419963799404021e-07,4.403636969418176223e-08,7.395960674282824583e-06
1.755323748646783031e+02,1.918632996955918202e+02,1.835162680661873651e+02,6.295508434208275245e-07,3.854961368930701178e-08,7.076814226817126215e-06
1.918632996955918202e+02,2.097135972692176153e+02,2.005899866970047754e+02,6.946829220611411501e-07,3.891716197984006234e-08,7.808967357197150484e-06
2.097135972692176153e+02,2.292246247686422862e+02,2.192521850356766038e+02,7.906120557028685750e-07,4.052129267544631647e-08,8.887311806762475625e-06
2.292246247686422862e+02,2.505508907601835062e+02,2.396506497382223984e+02,8.522843396189571725e-07,3.996406778181442579e-08,9.580573202214117437e-06
2.505508907601835062e+02,2.738612787525830754e+02,2.619469170198087795e+02,8.682752696577904153e-07,3.724842632138488761e-08,9.760328089974955356e-06
2.738612787525830754e+02,2.993403845919141872e+02,2.863175518661607271e+02,9.105174849704224686e-07,3.573584923709888644e-08,1.023517505971664759e-05
2.993403845919141872e+02,3.271899782830833487e+02,3.129555462583755343e+02,1.009211412190589728e-06,3.623792229725064026e-08,1.134459869968349653e-05
3.271899782830833487e+02,3.576306018141472691e+02,3.420718474837368035e+02,1.201301193068625581e-06,3.946375118902301083e-08,1.350389005533843501e-05
3.576306018141472691e+02,3.909033156366755861e+02,3.738970286352779340e+02,1.421036923589735711e-06,4.270877726323540078e-08,1.597395098868922261e-05
3.909033156366755861e+02,4.272716076326040593e+02,4.086831145288457492e+02,1.647757821932678476e-06,4.530753938395427756e-08,1.852253256184995602e-05
4.272716076326040593e+02,4.670234796847592520e+02,4.467055774971697133e+02,1.872537303453274827e-06,4.710563821991757499e-08,2.104929056614060416e-05
4.670234796847592520e+02,5.104737283746845264e+02,4.882655188657067242e+02,2.174912390992743762e-06,5.005523458596536474e-08,2.444830486926975963e-05
5.104737283746845264e+02,5.579664378687019735e+02,5.336920533854499809e+02,2.624488125636145506e-06,5.526086326927181395e-08,2.950200940831593992e-05
5.579664378687019735e+02,6.098777047334672261e+02,5.833449155051175694e+02,3.254491738146717355e-06,6.269335993330769613e-08,3.658391323634526825e-05
6.098777047334672261e+02,6.666186162589370952e+02,6.376173081218863672e+02,3.971127338475310675e-06,6.998702050623120933e-08,4.463965180750129432e-05
6.666186162589370952e+02,7.286385058741998364e+02,6.969390163700397807e+02,4.621281774734677702e-06,7.451289906193910343e-08,5.194807210783432283e-05
