r_low,r_high,r_center,psd_bin_weight,psd_density_per_r,psd_density_per_log_r
5.000000000000000888e+00,5.465182700442109187e+00,5.227419392225053585e+00,2.798747018758810818e-05,6.016446905912213898e-05,3.146086281449832602e-04
5.465182700442109187e+00,5.973644389842339919e+00,5.713760406068792541e+00,7.967223984594552227e-06,1.566927096118588399e-05,8.955998491884801832e-05
5.973644389842339919e+00,6.529411595591882111e+00,6.245348905143647933e+00,2.412963332257703414e-06,4.341679946738546840e-06,2.712424805234475055e-05
6.529411595591882111e+00,7.136885459258971665e+00,6.826394558923226441e+00,8.174948279974955225e-07,1.345728395724861225e-06,9.189502467642474929e-06
7.136885459258971665e+00,7.800876589395792315e+00,7.461498689963870667e+00,3.185259371127095517e-07,4.797141447462931976e-07,3.580566854808705457e-06
7.800876589395792315e+00,8.526643156929946343e+00,8.155690711952400918e+00,1.460516676179447600e-07,2.012378003497270206e-07,1.641774496929919059e-06
8.526643156929946343e+00,9.319932534819326264e+00,8.914467957823729805e+00,8.039019700995968518e-08,1.013377958291150652e-07,9.036704435267111961e-07
9.319932534819326264e+00,1.018702681171643043e+01,9.743839213348747919e+00,5.307216083865976692e-08,6.120690939003590906e-08,5.965869584577682099e-07
1.018702681171643043e+01,1.113479254006651153e+01,1.065037230093660447e+01,4.168479903548701227e-08,4.398217596246493887e-08,4.685810239780038116e-07
1.113479254006651153e+01,1.217073511259666851e+01,1.164124609046930736e+01,3.867020907842141248e-08,3.732852583128655884e-08,4.346938593127009590e-07
1.217073511259666851e+01,1.330305819780532950e+01,1.272430734904443739e+01,4.263867504348105444e-08,3.765592665243925019e-08,4.793035944813037327e-07
1.330305819780532950e+01,1.454072870512405125e+01,1.390813287982120805e+01,5.536430631753559571e-08,4.473266995549270173e-08,6.223530866495780615e-07
1.454072870512405125e+01,1.589354779421318931e+01,1.520209744204979074e+01,8.110626837087577597e-08,5.995352152037206226e-08,9.117198394528792536e-07
1.589354779421318931e+01,1.737222849071675057e+01,1.661644799014514717e+01,1.256741304252533008e-07,8.499071552257233962e-08,1.412709526848805446e-06
1.737222849071675057e+01,1.898848052311853962e+01,1.816238481970746221e+01,1.914941308579794211e-07,1.184803650785914756e-07,2.152595622371135049e-06
1.898848052311853962e+01,2.075510305252587173e+01,1.985215026308751618e+01,2.723888162549881637e-07,1.541862009120699759e-07,3.061937046458103144e-06
2.075510305252587173e+01,2.268608602971151811e+01,2.169912563688062690e+01,3.561473495376465812e-07,1.844383683054116639e-07,4.003471135637027946e-06
2.268608602971151811e+01,2.479672098206415853e+01,2.371793720907997027e+01,4.371277229733730920e-07,2.071072131569337990e-07,4.913775783485512722e-06
