q_A^-1,intensity,sigma,intensity_fit
2.628799999999998954e-04,1.501002927910997532e+06,1.458388497563881101e+05,1.883607112730748020e+06
2.675438070964800586e-04,1.537116129363369662e+06,1.447840572664073843e+05,1.890497960990680847e+06
2.722903557352346284e-04,1.573066290341198677e+06,1.436916664500729821e+05,1.897588817443208303e+06
2.771211138506526656e-04,1.608797228344271891e+06,1.425614983766299847e+05,1.904881868152407464e+06
2.820375754200420289e-04,1.644251485365300905e+06,1.413934436340645188e+05,1.912378845567264594e+06
2.870412609256645163e-04,1.679370447092792252e+06,1.401874648529249534e+05,1.920080956095570466e+06
2.921337178249632373e-04,1.714094470547162928e+06,1.389435990348691121e+05,1.927988799501886591e+06
2.973165210291369332e-04,1.748363019956982229e+06,1.376619596694537904e+05,1.936102279374121223e+06
3.025912733902008352e-04,1.782114810634158552e+06,1.363427386232659337e+05,1.944420503861332778e+06
3.079596061966908367e-04,1.815287960558109451e+06,1.349862077861419530e+05,1.952941675848427694e+06
3.134231796781628216e-04,1.847820149329271633e+06,1.335927204600303958e+05,1.961662971703653689e+06
3.189836835186387210e-04,1.879648784102336969e+06,1.321627124769518268e+05,1.970580407715313137e+06
3.246428373791666985e-04,1.910711172059478238e+06,1.306967030334225710e+05,1.979688693328716792e+06
3.304023914296471982e-04,1.940944698933736421e+06,1.291952952299400349e+05,1.988981070307594724e+06
3.362641268900991407e-04,1.970287013043285115e+06,1.276591763051710732e+05,1.998449136981518008e+06
3.422298565815239113e-04,1.998676214248465840e+06,1.260891175558754185e+05,2.008082656808947213e+06
3.483014254865459238e-04,2.026051047196003143e+06,1.244859739349194424e+05,2.017869350592177827e+06
3.544807113199996006e-04,2.052351098168623168e+06,1.228506833212339698e+05,2.027794671834667679e+06
3.607696251096353208e-04,2.077516994814028498e+06,1.211842654570961895e+05,2.037841564943682868e+06
3.671701117871337995e-04,2.101490607985306997e+06,1.194878205497632443e+05,2.047990206263779197e+06
3.736841507895997147e-04,2.124215254885222763e+06,1.177625275361391832e+05,2.058217728292669635e+06
3.803137566717306600e-04,2.145635902670489158e+06,1.160096420109384489e+05,2.068497927895372035e+06
3.870609797288466049e-04,2.165699371638952289e+06,1.142304938206334336e+05,2.078800959910794627e+06
3.939279066309686757e-04,2.184354537093112245e+06,1.124264843272540893e+05,2.089093018253487069e+06
4.009166610681532024e-04,2.201552528948070481e+06,1.105990833480270521e+05,2.099336007468520664e+06
4.080294044072686516e-04,2.217246928130878601e+06,1.087498257787074981e+05,2.109487208714470267e+06
4.152683363604304980e-04,2.231393958802069537e+06,1.068803079103550699e+05,2.119498945341057610e+06
4.226356956652892443e-04,2.243952675418787636e+06,1.049921834512615751e+05,2.129318254602768924e+06
4.301337607773916827e-04,2.254885143653025385e+06,1.030871592673651467e+05,2.138886573609428015e+06
4.377648505748250288e-04,2.264156614178106189e+06,1.011669908566536469e+05,2.148139449351947755e+06
