r_low,r_high,r_center,psd_bin_weight,psd_density_per_r,psd_density_per_log_r
5.000000000000000888e+00,5.465182700442109187e+00,5.227419392225053585e+00,9.461210152723488663e-06,2.033869734134907093e-05,1.063539622119822139e-04
5.465182700442109187e+00,5.973644389842339919e+00,5.713760406068792541e+00,5.220676589979937011e-06,1.026759085062656828e-05,5.868590083181652890e-05
5.973644389842339919e+00,6.529411595591882111e+00,6.245348905143647933e+00,2.906614478012213418e-06,5.229913618404620604e-06,3.267340661176685701e-05
6.529411595591882111e+00,7.136885459258971665e+00,6.826394558923226441e+00,1.670796016634771262e-06,2.750399838684101931e-06,1.878150612328948702e-05
7.136885459258971665e+00,7.800876589395792315e+00,7.461498689963870667e+00,1.024273228038596918e-06,1.542600769121023213e-06,1.151390936583350073e-05
7.800876589395792315e+00,8.526643156929946343e+00,8.155690711952400918e+00,6.910130450842266529e-07,9.521147377069116203e-07,7.767714076588729403e-06
8.526643156929946343e+00,9.319932534819326264e+00,8.914467957823729805e+00,5.256667389764649224e-07,6.626418475122535373e-07,5.909047530997463381e-06
9.319932534819326264e+00,1.018702681171643043e+01,9.743839213348747919e+00,4.598774958791556442e-07,5.303661990767909811e-07,5.169507180304374950e-06
1.018702681171643043e+01,1.113479254006651153e+01,1.065037230093660447e+01,4.659812134480752945e-07,4.916628651041003096e-07,5.238119391342792980e-06
1.113479254006651153e+01,1.217073511259666851e+01,1.164124609046930736e+01,5.341930633279894094e-07,5.156589539739556069e-07,6.004892392622073941e-06
1.217073511259666851e+01,1.330305819780532950e+01,1.272430734904443739e+01,6.563412600443881570e-07,5.796413308339815739e-07,7.377966712728798028e-06
1.330305819780532950e+01,1.454072870512405125e+01,1.390813287982120805e+01,8.134282038915590787e-07,6.572251654067144636e-07,9.143789331636443580e-06
1.454072870512405125e+01,1.589354779421318931e+01,1.520209744204979074e+01,9.622299858829129514e-07,7.112776524544672757e-07,1.081647800925011175e-05
1.589354779421318931e+01,1.737222849071675057e+01,1.661644799014514717e+01,1.019062349908854513e-06,6.891699826193004737e-07,1.145533361000988147e-05
1.737222849071675057e+01,1.898848052311853962e+01,1.816238481970746221e+01,9.103829559734763338e-07,5.632679419561970011e-07,1.023366281216832508e-05
1.898848052311853962e+01,2.075510305252587173e+01,1.985215026308751618e+01,6.887884953113218335e-07,3.898900211254506908e-07,7.742707795292046803e-06
