r_low,r_high,r_center,psd_bin_weight,psd_density_per_r,psd_density_per_log_r
5.000000000000000888e+00,5.465182700442109187e+00,5.227419392225053585e+00,3.581159143104894435e-05,7.698392781376803946e-05,4.025599876050061092e-04
5.465182700442109187e+00,5.973644389842339919e+00,5.713760406068792541e+00,9.435576867699559396e-06,1.855710482107224448e-05,1.060658171033970103e-04
5.973644389842339919e+00,6.529411595591882111e+00,6.245348905143647933e+00,2.593943444367104819e-06,4.667320089296653496e-06,2.915865503556379579e-05
6.529411595591882111e+00,7.136885459258971665e+00,6.826394558923226441e+00,7.715248915400125379e-07,1.270054462726361782e-06,8.672751987950508824e-06
7.136885459258971665e+00,7.800876589395792315e+00,7.461498689963870667e+00,2.553790971583299474e-07,3.846122117711226761e-07,2.870729897177979649e-06
7.800876589395792315e+00,8.526643156929946343e+00,8.155690711952400918e+00,9.752140769809372867e-08,1.343702122149687626e-07,1.096243286192807234e-06
8.526643156929946343e+00,9.319932534819326264e+00,8.914467957823729805e+00,4.423989854981559598e-08,5.576766786859034262e-08,4.973030323477821724e-07
9.319932534819326264e+00,1.018702681171643043e+01,9.743839213348747919e+00,2.446009450326157051e-08,2.820926761365787087e-08,2.749572120805869460e-07
1.018702681171643043e+01,1.113479254006651153e+01,1.065037230093660447e+01,1.694772527591226307e-08,1.788176631520083097e-08,1.905102734722128619e-07
1.113479254006651153e+01,1.217073511259666851e+01,1.164124609046930736e+01,1.516395407726886791e-08,1.463783271328723682e-08,1.704588073708355433e-07
1.217073511259666851e+01,1.330305819780532950e+01,1.272430734904443739e+01,1.732531780086753050e-08,1.530068407787948251e-08,1.947548109555135138e-07
1.330305819780532950e+01,1.454072870512405125e+01,1.390813287982120805e+01,2.420408368051756534e-08,1.955616097934908024e-08,2.720793809227898396e-07
1.454072870512405125e+01,1.589354779421318931e+01,1.520209744204979074e+01,3.978630696691913318e-08,2.940992427428527483e-08,4.472399745286272123e-07
1.589354779421318931e+01,1.737222849071675057e+01,1.661644799014514717e+01,7.359439336498878658e-08,4.977030777436103779e-08,8.272784564140231313e-07
1.737222849071675057e+01,1.898848052311853962e+01,1.816238481970746221e+01,1.436363755407086041e-07,8.887003552735617057e-08,1.614624071332481540e-06
1.898848052311853962e+01,2.075510305252587173e+01,1.985215026308751618e+01,2.686433648043970963e-07,1.520660810855399872e-07,3.019834229206093119e-06
2.075510305252587173e+01,2.268608602971151811e+01,2.169912563688062690e+01,4.483376621955225134e-07,2.321810536356783878e-07,5.039787301376584075e-06
2.268608602971151811e+01,2.479672098206415853e+01,2.371793720907997027e+01,6.267365877753809676e-07,2.969422007708072849e-07,7.045179030712268590e-06
2.479672098206415853e+01,2.710372210777337543e+01,2.592457202504720826e+01,7.115086782010351359e-07,3.084128006146089456e-07,7.998106569180006496e-06
2.710372210777337543e+01,2.962535863619867627e+01,2.833650450953068756e+01,6.616556578441631257e-07,2.623913678222890417e-07,7.437706138621796710e-06
2.962535863619867627e+01,3.238159950258924624e+01,3.097283484729738134e+01,5.360743991579371591e-07,1.944947575862454929e-07,6.026040587888481173e-06
