q_A^-1,intensity,sigma,intensity_fit
2.628799999999998954e-04,1.427614747572357301e+06,1.286279587753221131e+05,1.789412738663918339e+06
2.675438070964800586e-04,1.460898770906449296e+06,1.276461003877362382e+05,1.795017196190262679e+06
2.722903557352346284e-04,1.493965972972022835e+06,1.266302055157881405e+05,1.800776582506392151e+06
2.771211138506526656e-04,1.526762582299903268e+06,1.255801802184948028e+05,1.806691782294865465e+06
2.820375754200420289e-04,1.559233791410017759e+06,1.244959962246000359e+05,1.812763228379843524e+06
2.870412609256645163e-04,1.591323878849172033e+06,1.233776930528684024e+05,1.818990835767462850e+06
2.921337178249632373e-04,1.622976338789884932e+06,1.222253799393783702e+05,1.825373928506300552e+06
2.973165210291369332e-04,1.654134017939917510e+06,1.210392375574273901e+05,1.831911158730510622e+06
3.025912733902008352e-04,1.684739259466380347e+06,1.198195195161759329e+05,1.838600417217309820e+06
3.079596061966908367e-04,1.714734053592170589e+06,1.185665536249378201e+05,1.845438734764929395e+06
3.134231796781628216e-04,1.744060194476193748e+06,1.172807429107571079e+05,1.852422173678998370e+06
3.189836835186387210e-04,1.772659442942516413e+06,1.159625663777989685e+05,1.859545708647411084e+06
3.246428373791666985e-04,1.800473694577828282e+06,1.146125794980524661e+05,1.866803096289496636e+06
3.304023914296471982e-04,1.827445152671359479e+06,1.132314144238860317e+05,1.874186732688864460e+06
3.362641268900991407e-04,1.853516505427210592e+06,1.118197799141125433e+05,1.881687498265580041e+06
3.422298565815239113e-04,1.878631106836168328e+06,1.103784609664349991e+05,1.889294589418200543e+06
3.483014254865459238e-04,1.902733160552860238e+06,1.089083181504542736e+05,1.896995336476622615e+06
3.544807113199996006e-04,1.925767906084788730e+06,1.074102866367297975e+05,1.904775007660535863e+06
3.607696251096353208e-04,1.947681806562755257e+06,1.058853749188587099e+05,1.912616598944788799e+06
3.671701117871337995e-04,1.968422737327951239e+06,1.043346632269684051e+05,1.920500610002505127e+06
3.736841507895997147e-04,1.987940174539466854e+06,1.027593016326330981e+05,1.928404806740643689e+06
3.803137566717306600e-04,2.006185382977964822e+06,1.011605078467331186e+05,1.936303971373553853e+06
3.870609797288466049e-04,2.023111602196770487e+06,9.953956471348578634e+04,1.944169641510921763e+06
3.939279066309686757e-04,2.038674230151056312e+06,9.789781740546232322e+04,1.951969840380901471e+06
4.009166610681532024e-04,2.052831003419482615e+06,9.623667032618288067e+04,1.959668801080272067e+06
4.080294044072686516e-04,2.065542173120862804e+06,9.455758372848523140e+04,1.967226688653007150e+06
4.152683363604304980e-04,2.076770675621294649e+06,9.286207005870065768e+04,1.974599324855960906e+06
4.226356956652892443e-04,2.086482297125231940e+06,9.115169003819287173e+04,1.981737921680696774e+06
4.301337607773916827e-04,2.094645831247076858e+06,8.942804849571034720e+04,1.988588831062593032e+06
4.377648505748250288e-04,2.101233228668478318e+06,8.769278996542771347e+04,1.995093319712559227e+06
4.455313250753588166e-04,2.106219738000707235e+06,8.594759406743610452e+04,2.001187379631058546e+06
4.534355861663153810e-04,2.109584036991213448e+06,8.419417068860527070e+04,2.006801586572001223e+06
4.614800783473826246e-04,2.111308353239185642e+06,8.243425498373704613e+04,2.011861020459381398e+06
4.696672894866124712e-04,2.111378573616337962e+06,8.066960221779397398e+04,2.016285263443898642e+06
4.779997515898240165e-04,2.109784341626305599e+06,7.890198247169307433e+04,2.019988492815494537e+06
4.864800415836623669e-04,2.106519141979281791e+06,7.713317523518430244e+04,2.022879687227655668e+06
4.951107821125495237e-04,2.101580371707122773e+06,7.536496391133699217e+04,2.024862965477494523e+06
5.038946423497687099e-04,2.094969397198562510e+06,7.359913025831821142e+04,2.025838077231270261e+06
5.128343388229472275e-04,2.086691596594028641e+06,7.183744879464052792e+04,2.025701064374105074e+06
5.219326362541750136e-04,2.076756387044403702e+06,7.008168119500680768e+04,2.024345109867631458e+06
5.311923484150342292e-04,2.065177236408069730e+06,6.833357070398435462e+04,2.021661587894156342e+06
5.406163389967977035e-04,2.051971659035047051e+06,6.659483659541027737e+04,2.017541324447163148e+06
5.502075224960606718e-04,2.037161195365864784e+06,6.486716870520621887e+04,2.011876071242338512e+06
5.599688651160921425e-04,2.020771375155352056e+06,6.315222206533519784e+04,2.004560187800257467e+06
5.699033856841702241e-04,2.002831664217620622e+06,6.145161166639013391e+04,1.995492516840010416e+06
5.800141565851962052e-04,1.983375394677393837e+06,5.976690737571070349e+04,1.984578426925524371e+06
5.903043047118737259e-04,1.962439678804164054e+06,5.809962903730492690e+04,1.971731984011640772e+06
6.007770124317377523e-04,1.940065306598688476e+06,5.645124177905492252e+04,1.956878200737205334e+06
6.114355185713500488e-04,1.916296627395658055e+06,5.482315155153751402e+04,1.939955299802895635e+06
6.222831194179451013e-04,1.891181415841201320e+06,5.321670092163946538e+04,1.920916916524947621e+06
6.333231697388565229e-04,1.864770722698605619e+06,5.163316514279513649e+04,1.899734156765240710e+06
6.445590838190193858e-04,1.837118711029600352e+06,5.007374852204899798e+04,1.876397421028473880e+06
6.559943365168885952e-04,1.808282478391039884e+06,4.853958110275792569e+04,1.850917904628518503e+06
6.676324643390821930e-04,1.778321865777072264e+06,4.703171567959459207e+04,1.823328688279569149e+06
6.794770665340949109e-04,1.747299254124355037e+06,4.555112516123941896e+04,1.793685343728675507e+06
6.915318062054173157e-04,1.715279349281556206e+06,4.409870029359799082e+04,1.762065995107130846e+06
7.038004114443945905e-04,1.682328956424079603e+06,4.267524775525745645e+04,1.728570797982539982e+06
7.162866764831956386e-04,1.648516744969187304e+06,4.128148863414103835e+04,1.693320823520890903e+06
7.289944628682249296e-04,1.613913005115809850e+06,3.991805729314586642e+04,1.656456363094132394e+06
7.419277006543606749e-04,1.578589397195788566e+06,3.858550063013265753e+04,1.618134697097317781e+06
7.550903896203792903e-04,1.542618695078907534e+06,3.728427773628458090e+04,1.578527398500652052e+06
7.684866005059365086e-04,1.506074524922489887e+06,3.601475995452993084e+04,1.537817264645480784e+06
7.821204762705039103e-04,1.469031100596376695e+06,3.477723133874551422e+04,1.496194988188863033e+06
7.959962333746297206e-04,1.431562957146143774e+06,3.357188951215751149e+04,1.453855688604913652e+06
8.101181630839421549e-04,1.393744683680227026e+06,3.239884692228237327e+04,1.410995428607332753e+06
8.244906327962760878e-04,1.355650657080638688e+06,3.125813248796836706e+04,1.367807835319257807e+06
8.391180873923520609e-04,1.317354777941227891e+06,3.014969363289340981e+04,1.324480934708496323e+06
8.540050506104184371e-04,1.278930210132302251e+06,2.907339869767727578e+04,1.281194291010713670e+06
8.691561264452727070e-04,1.240449125375321135e+06,2.802903972230757427e+04,1.238116522242309060e+06
8.845760005721163381e-04,1.201982454186834861e+06,2.701633558763916881e+04,1.195403240295667667e+06
9.002694417956557055e-04,1.163599644516084809e+06,2.603493550379819135e+04,1.153195441321101040e+06
9.162413035249268025e-04,1.125368429356787354e+06,2.508442283084014707e+04,1.111618350738027599e+06
9.324965252742715592e-04,1.087354604559928644e+06,2.416431921468975634e+04,1.070780708562796470e+06
9.490401341909520316e-04,1.049621818012103904e+06,2.327408901900993442e+04,1.030774465675177751e+06
9.658772466098665020e-04,1.012231371272248216e+06,2.241314403066998784e+04,9.916748506454961607e+05
9.830130696358385742e-04,9.752420346805490553e+05,2.158084841321440035e+04,9.535407599071010482e+05
1.000452902753992636e-03,9.387098768656235188e+05,2.077652387950184857e+04,9.164154211680097505e+05
1.018202139468684601e-03,9.026881094822902232e+05,1.999945505098421563e+04,8.803272805589351337e+05
1.036266268971518766e-03,8.672269479112671688e+05,1.924889496714441702e+04,8.452910675026213285e+05
1.054650877838957633e-03,8.323734885460287333e+05,1.852407070520917114e+04,8.113089969646423124e+05
1.073361651760039708e-03,7.981716031811870635e+05,1.782418906649282144e+04,7.783720758742250036e+05
1.092404377294763302e-03,7.646618509015692398e+05,1.714844228194683092e+04,7.464614883454984520e+05
1.111784943663651120e-03,7.318814077537395060e+05,1.649601368723228734e+04,7.155500421505909180e+05
1.131509344569075690e-03,6.998640143613796681e+05,1.586608331460871887e+04,6.856036659632965457e+05
1.151583680048893577e-03,6.686399415252711624e+05,1.525783334799090335e+04,6.565829524653775152e+05
1.172014158362963670e-03,6.382359737278465182e+05,1.467045338592932239e+04,6.284447457338378299e+05
1.192807097913132618e-03,6.086754103419966996e+05,1.410314545859071950e+04,6.011437716581507120e+05
1.213968929197288072e-03,5.799780842262338847e+05,1.355512874505855143e+04,5.746343067810655339e+05
1.235506196798082101e-03,5.521603972731214017e+05,1.302564394075147720e+04,5.488718733914872864e+05
1.257425561406921551e-03,5.252353723673764616e+05,1.251395722755242059e+04,5.238149367373652058e+05
1.279733801883888846e-03,4.992127211037185043e+05,1.201936380409590856e+04,4.994265642525316216e+05
1.302437817354185458e-03,4.740989265146274120e+05,1.154119093897071252e+04,4.756759879096325021e+05
1.325544629341784963e-03,4.498973399647772312e+05,1.107880051656570868e+04,4.525399914638797054e+05
1.349061383940937994e-03,4.266082912830617279e+05,1.063159105124812231e+04,4.300040277867696132e+05
1.372995354026188691e-03,4.042292111253999174e+05,1.019899915353120923e+04,4.080629619503520662e+05
1.397353941501620856e-03,3.827547644927948713e+05,9.780500439918383563e+03,3.867213377673720825e+05
1.422144679589987118e-03,3.621769942700713873e+05,9.375609884789644639e+03,3.659930829930526670e+05
1.447375235162464682e-03,3.424854736003708094e+05,8.983881621623710089e+03,3.459006032633227296e+05
1.473053411109742162e-03,3.236674658728968352e+05,8.604908207498316187e+03,3.264732657971859444e+05
1.499187148755160015e-03,3.057080910713169724e+05,8.238319372173114971e+03,3.077453357067917241e+05
1.525784530310684119e-03,2.885904972132146358e+05,7.883780279365046226e+03,2.897534915148667060e+05
1.552853781376427409e-03,2.722960356039293110e+05,7.540989334804832652e+03,2.725341010049578035e+05
1.580403273484533603e-03,2.568044386313334107e+05,7.209675580618850290e+03,2.561204729080278776e+05
1.608441526688189974e-03,2.420939988425932825e+05,6.889595720582831746e+03,2.405403063901534770e+05
1.636977212196565187e-03,2.281417480689883232e+05,6.580530826038730993e+03,2.258135365638767835e+05
1.666019155056495992e-03,2.149236353983506560e+05,6.282282776433108666e+03,2.119507243984789529e+05
1.695576336881754334e-03,2.024147028395310044e+05,5.994670492152389670e+03,1.989520730086826079e+05
1.725657898630738197e-03,1.905892575763538480e+05,5.717526020969280580e+03,1.868070819055072207e+05
1.756273143433425979e-03,1.794210397688224912e+05,5.450690543871683076e+03,1.754947887817611918e+05
1.787431539468507758e-03,1.688833849290199578e+05,5.194010368202783866e+03,1.649845041847223765e+05
1.819142722891536066e-03,1.589493799748122692e+05,4.947332979871067437e+03,1.552369227341485675e+05
1.851416500815041824e-03,1.495920121445953846e+05,4.710503229607196772e+03,1.462054951181262732e+05
1.884262854341524004e-03,1.407843100454472005e+05,4.483359729857939783e+03,1.378379635003814765e+05
1.917691941650225256e-03,1.324994761943556368e+05,4.265731541093160558e+03,1.300779919649134099e+05
1.951714101138703325e-03,1.247110105088241398e+05,4.057435226588575460e+03,1.228668546382577042e+05
1.986339854620105747e-03,1.173928242963962257e+05,3.858272352778372806e+03,1.161451685218480125e+05
2.021579910577188648e-03,1.105193443929441273e+05,3.668027509539892435e+03,1.098546682278856460e+05
2.057445167474067794e-03,1.040656071911305189e+05,3.486466916928324281e+03,1.039400104186125100e+05
2.093946717126699344e-03,9.800734240242093801e+04,3.313337674567399517e+03,9.835056540572410449e+04
2.131095848133192101e-03,9.232104648638889194e+04,3.148367697007983679e+03,9.304210650752308720e+04
2.168904049364943701e-03,8.698404577321186662e+04,2.991266356757365429e+03,8.797825598158968205e+04
2.207383013519737241e-03,8.197454939426109195e+04,2.841725837580634561e+03,8.313150770756720158e+04
2.246544640737869070e-03,7.727169221730902791e+04,2.699423172078809785e+03,7.848364167819521390e+04
2.286401042282424495e-03,7.285556806404888630e+04,2.564022911391944490e+03,7.402538890973142406e+04
2.326964544284845001e-03,6.870725355477258563e+04,2.435180346294162064e+03,6.975529897094031912e+04
2.368247691556956639e-03,6.480882299815118313e+04,2.312545172229735726e+03,6.567788873892702395e+04
2.410263251470628337e-03,6.114335479663684964e+04,2.195765469777709768e+03,6.180127765738063317e+04
2.453024217906239323e-03,5.769492989364266396e+04,2.084491852784425191e+03,5.813460544086059963e+04
2.496543815271229805e-03,5.444862283179908991e+04,1.978381631902867412e+03,5.468555787071108352e+04
2.540835502589913666e-03,5.139048602857440710e+04,1.877102836106653285e+03,5.145829166850433830e+04
2.585912977665867640e-03,4.850752790135517716e+04,1.780337949015215827e+03,4.845196847472352238e+04
2.631790181318170718e-03,4.578768550025671721e+04,1.687787226677041645e+03,4.566001017450340441e+04
2.678481301692784387e-03,4.321979231244698167e+04,1.599171495508189309e+03,4.307009994555803860e+04
2.726000778650423343e-03,4.079354191466048360e+04,1.514234349373182340e+03,4.066488838610328821e+04
2.774363308232286659e-03,3.849944813952967525e+04,1.432743699665158601e+03,3.842331758724985411e+04
2.823583847205000767e-03,3.632880242162942886e+04,1.354492663483660408e+03,3.632243172539818625e+04
2.873677617686211036e-03,3.427362896365672350e+04,1.279299800069711864e+03,3.433948447600047803e+04
2.924660111852222730e-03,3.232663834918662906e+04,1.207008734504745007e+03,3.245407979775934655e+04
2.976547096729158064e-03,3.048118019411340356e+04,1.137487224611077409e+03,3.065001631506370904e+04
3.029354619069133791e-03,2.873119540003687143e+04,1.070625745205862131e+03,2.891649013444624870e+04
3.083099010312928198e-03,2.707116853437200189e+04,1.006335669254406639e+03,2.724838892446850514e+04
3.137796891640710472e-03,2.549608082219585776e+04,9.445471350306702334e+02,2.564559118288333048e+04
3.193465179112360292e-03,2.400136418580822647e+04,8.852066830193612077e+02,2.411142506294877603e+04
3.250121088898979237e-03,2.258285673165600747e+04,8.282747476014168342e+02,2.265065530265114649e+04
3.307782142607233744e-03,2.123676002478831651e+04,7.737230794904043023e+02,2.126747128215383782e+04
3.366466172698157240e-03,1.995959845034498721e+04,7.215321688469612127e+02,1.996391070239104010e+04
3.426191328002056377e-03,1.874818090973049402e+04,6.716887252482662234e+02,1.873900369936911738e+04
3.486976079331312057e-03,1.759956504851393402e+04,6.241832695349060032e+02,1.758873021243275434e+04
3.548839225192700671e-03,1.651102416759729385e+04,5.790078724538427650e+02,1.650670917039872438e+04
3.611799897601099089e-03,1.548001692300289869e+04,5.361540724773537931e+02,1.548540659965657869e+04
3.675877567996325892e-03,1.450415987307205796e+04,4.956109948775962835e+02,1.451755965038241811e+04
3.741092053264940751e-03,1.358120288961380720e+04,4.573636843190402601e+02,1.359746531533373854e+04
3.807463521868875884e-03,1.270900741840898991e+04,4.213916584661223510e+02,1.272179800208983761e+04
3.875012500082818633e-03,1.188552752426266670e+04,3.876676868404523475e+02,1.188972914443681293e+04
3.943759878342231219e-03,1.110879363970458508e+04,3.561567901368918569e+02,1.110232212113739297e+04
4.013726917704013054e-03,1.037689889575541019e+04,3.268154623043631091e+02,1.036140347945687972e+04
4.084935256421760169e-03,9.687987893223762512e+03,2.995911114259068881e+02,9.668270644961139624e+03
4.157406916637682200e-03,9.040247758924961090e+03,2.744217234876458065e+02,9.022626801703616366e+03
4.231164311193260329e-03,8.431901298493146896e+03,2.512357574677285186e+02,8.422049747599938200e+03
4.306230250560711369e-03,7.861202065259218216e+03,2.299522877754594674e+02,7.862158949624869820e+03
4.382627949897448076e-03,7.326431135118007660e+03,2.104814134669355212e+02,7.337476377126375155e+03
4.460381036225673744e-03,6.825895393103361130e+03,1.927249642327933827e+02,6.842772785925740209e+03
4.539513555739347998e-03,6.357927118718624115e+03,1.765775251683004115e+02,6.374462037292802052e+03
4.620049981240807561e-03,5.920884665846824646e+03,1.619277957907539189e+02,5.931457629657244070e+03
4.702015219709324879e-03,5.513154044061899185e+03,1.486602750325106115e+02,5.515008416130285696e+03
4.785434620003895315e-03,5.133151199162006378e+03,1.366572361475886339e+02,5.127453442888582686e+03
4.870333980702753508e-03,4.779324824124574661e+03,1.258009127318440363e+02,4.770404748879069302e+03
4.956739558081899207e-03,4.450159512162208557e+03,1.159757797014357550e+02,4.443243149829379036e+03
5.044678074235219023e-03,4.144179118275642395e+03,1.070707857273893211e+02,4.142743561949923787e+03
5.134176725338668312e-03,3.859950166702270508e+03,9.898138096593513069e+01,3.864119116611467689e+03
5.225263190061041514e-03,3.596085187196731567e+03,9.161119839543501087e+01,3.602985519772980751e+03
5.317965638123972084e-03,3.351245873749256134e+03,8.487327978444339749e+01,3.357089828257517183e+03
5.412312739013808334e-03,3.124145969510078430e+03,7.869078720049999731e+01,3.126640754598903641e+03
5.508333670848032312e-03,2.913553797841072083e+03,7.299719716269672176e+01,2.912981152103812747e+03
5.606058129399006836e-03,2.718294392824172974e+03,6.773602161979938785e+01,2.716629846359976909e+03
5.705516337277777641e-03,2.537251165568828583e+03,6.286013985400127524e+01,2.536258161995519004e+03
5.806739053280818123e-03,2.369367102682590485e+03,5.833083687299501463e+01,2.369346448898259951e+03
5.909757581902620564e-03,2.213645464658737183e+03,5.411666323128515188e+01,2.213762591841949870e+03
6.014603783017019589e-03,2.069149984240531921e+03,5.019220970924498459e+01,2.068703645455200785e+03
